"date","price","open","high","low","vol"
2018-07-17,2798.13,2806.89,2806.92,2774.76,1.054e+10
2018-07-18,2787.26,2801.78,2818.4,2786.04,1.21e+10
2018-07-19,2772.55,2791.02,2805.01,2764.49,1.145e+10
2018-07-20,2829.27,2769.75,2837.86,2753.84,1.459e+10
2018-07-23,2859.54,2815.2,2863.57,2809.62,1.734e+10
2018-07-24,2905.56,2862.27,2911.46,2862.27,2.296e+10
2018-07-25,2903.65,2911.45,2912.31,2894.04,1.678e+10
2018-07-26,2882.23,2905.79,2915.3,2875.7,1.684e+10
2018-07-27,2873.59,2879.69,2889.69,2864.11,1.464e+10
2018-07-30,2869.05,2871.94,2896.01,2850.3,1.517e+10
2018-07-31,2876.4,2866.9,2884.68,2854.32,1.189e+10
2018-08-01,2824.53,2882.51,2897.4,2823.93,1.495e+10
2018-08-02,2768.02,2815.34,2815.34,2726.48,1.742e+10
2018-08-03,2740.44,2763.4,2777.66,2740.43,1.27e+10
2018-08-06,2705.16,2736.53,2760.47,2692.32,1.298e+10
2018-08-07,2779.37,2711.74,2779.37,2696.04,1.496e+10
2018-08-08,2744.07,2771.13,2779.91,2741.07,1.477e+10
2018-08-09,2794.38,2729.58,2801.66,2726.22,1.517e+10
2018-08-10,2795.31,2791.4,2806.11,2777.51,1.215e+10
2018-08-13,2785.87,2769.02,2789.8,2742.56,1.275e+10
2018-08-14,2780.96,2780.74,2789.44,2766.57,1.096e+10
2018-08-15,2723.26,2777.25,2777.7,2721.24,1.162e+10
2018-08-16,2705.19,2691.43,2732.95,2672.74,1.203e+10
2018-08-17,2668.97,2723.89,2730.33,2665.59,1.124e+10
2018-08-20,2698.47,2673.07,2698.47,2653.11,1.108e+10
2018-08-21,2733.83,2700.34,2739.17,2696.29,1.136e+10
2018-08-22,2714.61,2731.96,2731.96,2709.06,9.37e+09
2018-08-23,2724.62,2714.87,2736.01,2700.8,9.84e+09
2018-08-24,2729.43,2717.08,2748.82,2705.32,1.005e+10
2018-08-27,2780.9,2736.32,2780.9,2736.32,1.328e+10
2018-08-28,2777.98,2782.29,2791.39,2769.4,1.187e+10
2018-08-29,2769.29,2774.86,2778.54,2762.35,1.002e+10
2018-08-30,2737.74,2769.33,2780.53,2736.35,1.061e+10
2018-08-31,2725.25,2730.11,2744.63,2710.54,1.098e+10
2018-09-03,2720.73,2716.4,2722.85,2692.36,1.022e+10
2018-09-04,2750.58,2720.65,2756.61,2712.38,1.09e+10
2018-09-05,2704.34,2741.38,2745.47,2704.34,1.05e+10
2018-09-06,2691.59,2697.58,2719.41,2683.74,9.9e+09
2018-09-07,2702.3,2696.68,2728.55,2683.72,1.075e+10
2018-09-10,2669.48,2698.01,2703.43,2667.32,1.036e+10
